ISO2,Country,Region,Income,Year,GDP,Population
EE,Estonia,Europe & Central Asia,High income,2001,6245069734,1388115
FI,Finland,Europe & Central Asia,High income,2001,1.2925E+11,5188008
FR,France,Europe & Central Asia,High income,2001,1.37647E+12,61357430
GB,United Kingdom,Europe & Central Asia,High income,2001,1.62151E+12,59119673
GE,Georgia,Europe & Central Asia,Lower middle income,2001,3219487752,4014373
GR,Greece,Europe & Central Asia,High income,2001,1.36191E+11,10862132
HK,"Hong Kong SAR, China",East Asia & Pacific,High income,2001,1.69403E+11,6714300
HR,Croatia,Europe & Central Asia,High income,2001,23289671101,4299642
HU,Hungary,Europe & Central Asia,High income,2001,53821315066,10187576
ID,Indonesia,East Asia & Pacific,Lower middle income,2001,1.60447E+11,214506502
IE,Ireland,Europe & Central Asia,High income,2001,1.09134E+11,3866243
IS,Iceland,Europe & Central Asia,High income,2001,8136345144,284968
IL,Israel,Middle East & North Africa,High income,2001,1.31331E+11,6439000
IT,Italy,Europe & Central Asia,High income,2001,1.16232E+12,56974100
JO,Jordan,Middle East & North Africa,Upper middle income,2001,8975689845,5193482
JP,Japan,East Asia & Pacific,High income,2001,4.30354E+12,127149000
KR,"Korea, Rep.",East Asia & Pacific,High income,2001,5.33052E+11,47370164
XK,Kosovo,Europe & Central Asia,Lower middle income,2001,2416667355,1701154
LB,Lebanon,Middle East & North Africa,Upper middle income,2001,17649751244,3359859
LT,Lithuania,Europe & Central Asia,High income,2001,12306558476,3470818
LU,Luxembourg,Europe & Central Asia,High income,2001,21272418792,441525
LV,Latvia,Europe & Central Asia,High income,2001,8350252966,2337170
MO,"Macao SAR, China",East Asia & Pacific,High income,2001,6811227983,438081
MD,Moldova,Europe & Central Asia,Lower middle income,2001,1480673594,3631462
MX,Mexico,Latin America & Caribbean,Upper middle income,2001,7.56706E+11,103067068
MK,FYROM,Europe & Central Asia,Upper middle income,2001,3709637830,2042842
